价格,面积,室,卫,所在楼层,总楼层,位置1,位置2,小区,地铁站名,地铁距离
2860.0,14.0,4,1,11,19,西城区,广安门内,建功北里,7号线广安门内站,1000
1880.0,18.0,2,1,5,6,昌平区,昌平,静心苑,昌平线昌平站,850
2690.0,19.0,2,1,4,6,石景山区,古城,八角北路,1号线古城站,1000
2140.0,16.0,4,2,3,5,大兴区,亦庄桥,莱茵河畔,亦庄线亦庄桥站,800
2850.0,9.0,3,1,18,18,朝阳区,三元桥,静安东里,"10号线,12号线,机场线三元桥站",550
2790.0,9.0,3,1,19,31,朝阳区,青年路,国美第一城西区,6号线青年路站,1250
3750.0,32.0,1,1,17,30,通州区,临河里,华业东方玫瑰,八通线临河里站,650
2190.0,7.0,4,1,7,29,朝阳区,高碑店,金隅汇星苑,6号线青年路站,1450
3530.0,9.0,2,1,2,6,海淀区,清华东路西口,东王庄,15号线清华东路西口站,200
4820.0,50.0,1,1,6,18,石景山区,古城,古城现代嘉园,1号线古城站,1250
7090.0,86.0,2,1,2,6,昌平区,回龙观,金榜园,13号线回龙观站,1200
1710.0,10.0,3,1,6,6,顺义区,石门,西辛南区,15号线石门站,450
2280.0,11.0,3,1,4,6,昌平区,朱辛庄,朱辛庄北区,"昌平线,8号线朱辛庄站",550
2440.0,16.0,3,1,1,6,朝阳区,常营,连心园西区,6号线常营站,800
2400.0,17.0,3,1,1,6,朝阳区,常营,连心园西区,6号线常营站,800
2080.0,8.0,3,1,14,21,丰台区,樊羊路,花香东苑,房山线樊羊路站,450
1250.0,6.0,3,1,11,28,通州区,通州北关,富力惠兰美居,6号线通州北关站,3100
2340.0,10.0,4,2,5,11,丰台区,石榴庄,彩虹城二区,10号线石榴庄站,900
2070.0,15.0,6,2,6,6,朝阳区,孙河,康营小区C区,15号线孙河站,1350
2450.0,10.0,3,1,24,29,朝阳区,褡裢坡,泰福苑二区,6号线褡裢坡站,700
1860.0,11.0,3,1,16,28,昌平区,昌平,金隅万科城,昌平线昌平站,900
1980.0,10.0,2,1,1,6,通州区,果园,后南仓,八通线果园站,1050
2440.0,10.0,3,1,25,27,朝阳区,褡裢坡,泰福苑二区,6号线褡裢坡站,700
2030.0,14.0,4,1,14,28,昌平区,昌平,金隅万科城,昌平线昌平站,900
1950.0,14.0,4,1,1,6,通州区,通州北苑,杨庄小区,八通线通州北苑站,400
1830.0,11.0,2,1,1,6,通州区,梨园,艺苑西街7号院,八通线梨园站,1100
7480.0,63.0,1,1,8,9,朝阳区,青年路,珠江罗马嘉园西区,6号线青年路站,500
